DEPTH_M,DEPTH_F,BS,CALI,DENS,DRHO,DTC,DTS,GR,NEUT,PEF,RESD,RESM,RESS,TEMP,TENS
2517.3432,8259.0003,12.5,12.222,2.2092,0.020183,87.5798,149.4598,109.3563,0.201329,2.112,2.644,2.6054,2.5844,71,1699.8052
2517.4956,8259.5003,12.5,12.2302,2.2,0.020265,87.9728,149.4047,110.5592,0.196342,2.1384,2.5791,2.5314,2.5033,71,1700.3933
2517.648,8260.0003,12.5,12.2405,2.2416,0.014268,90.1206,149.5446,107.463,0.207872,2.667,2.4859,2.4338,2.3887,71,1705.6873
2517.8004,8260.5003,12.5,12.2508,2.2847,0.008091,92.3206,149.6904,104.239,0.219893,3.2106,2.3919,2.3356,2.2732,71,1711.1212
2517.9528,8261.0003,12.5,12.2611,2.3279,0.001913,94.5206,149.8362,101.0149,0.231914,3.7542,2.2979,2.2373,2.1577,71,1716.5551
2518.1052,8261.5003,12.5,12.2659,2.3272,0.006693,95.1402,149.6008,100.6899,0.236563,3.5935,2.5039,2.4243,2.3711,71,1714.5508
2518.2576,8262.0003,12.5,12.2682,2.3068,0.016389,95.0508,149.1944,101.6656,0.237904,3.1168,2.8446,2.7394,2.7321,71,1709.2092
2518.41,8262.5003,12.5,12.2706,2.2865,0.026085,94.9614,148.788,102.6412,0.239245,2.6401,3.1852,3.0544,3.0931,71,1703.8677
2518.5624,8263.0003,12.5,12.299,2.27,0.029255,94.6276,148.3127,103.1721,0.23755,2.3125,3.4075,3.28,3.3341,71,1706.207
2518.7148,8263.5003,12.5,12.365,2.2591,0.023013,93.9413,147.7383,103.0616,0.231475,2.2,3.4592,3.3765,3.4019,71,1719.6245
2518.8672,8264.0003,12.5,12.4311,2.2482,0.016771,93.255,147.1639,102.951,0.225399,2.0874,3.5109,3.473,3.4697,71,1733.0419
2519.0196,8264.5003,12.5,12.4846,2.2396,0.011724,92.9338,146.6694,102.1708,0.219879,1.9935,3.5692,3.567,3.5381,71,1743.5684
2519.172,8265.0003,12.5,12.454,2.2465,0.014776,95.0854,146.7165,96.8534,0.218117,2.0261,3.6721,3.6441,3.61,71,1734.5068
2519.3244,8265.5003,12.5,12.4234,2.2534,0.017828,97.237,146.7637,91.536,0.216355,2.0586,3.775,3.7212,3.6819,71,1725.4453
2519.4768,8266.0003,12.5,12.3928,2.2603,0.02088,99.3887,146.8108,86.2186,0.214593,2.0912,3.8779,3.7983,3.7538,71,1716.3838
2519.6292,8266.5003,12.5,12.4659,2.2788,0.024712,101.1646,146.7176,84.9888,0.21786,2.1612,3.9089,3.8237,3.7796,71,1718.5035
2519.7816,8267.0003,12.5,12.5576,2.2993,0.028683,102.8731,146.5992,84.493,0.22203,2.2381,3.9271,3.8399,3.7973,71,1722.631
2519.934,8267.5003,12.5,12.6493,2.3199,0.032655,104.5816,146.4807,83.9972,0.2262,2.3149,3.9453,3.8561,3.8149,71,1726.7585
2520.0864,8268.0003,12.5,12.6436,2.3248,0.032409,106.3825,148.1893,82.7884,0.226864,2.3294,3.9505,3.8613,3.8227,71,1723.8763
2520.2388,8268.5003,12.5,12.5635,2.3177,0.028942,108.254,151.2933,81.035,0.224849,2.2963,3.946,3.8582,3.8231,71,1715.6394
2520.3912,8269.0003,12.5,12.4834,2.3107,0.025474,110.1255,154.3974,79.2817,0.222835,2.2633,3.9414,3.8551,3.8235,71,1707.4025
2520.5436,8269.5003,12.5,12.4622,2.306,0.024477,111.4304,157.0144,77.3731,0.221115,2.2389,3.9401,3.8552,3.8244,71,1702.0544
2520.696,8270.0003,12.5,12.5883,2.3074,0.029643,111.3216,158.416,75.0774,0.220132,2.236,3.9468,3.8635,3.8263,71,1703.9155
2520.8484,8270.5003,12.5,12.7143,2.3087,0.034809,111.2127,159.8176,72.7816,0.219149,2.2331,3.9535,3.8718,3.8282,71,1705.7765
2521.0008,8271.0003,12.5,12.8393,2.3099,0.039932,111.0899,161.1987,70.524,0.218194,2.2303,3.9595,3.8794,3.8296,71,1707.616
2521.1532,8271.5003,12.5,12.7724,2.3091,0.0369,108.3183,158.7157,75.4973,0.222579,2.2603,3.8274,3.7609,3.729,71,1705.3785
2521.3056,8272.0003,12.5,12.7056,2.3083,0.033868,105.5468,156.2327,80.4706,0.226964,2.2903,3.6953,3.6424,3.6285,71,1703.1412
2521.458,8272.5003,12.5,12.6388,2.3075,0.030836,102.7752,153.7496,85.4439,0.231349,2.3203,3.5631,3.5239,3.5279,71,1700.9038
2521.6104,8273.0003,12.5,12.6105,2.3023,0.030029,102.6773,153.0444,85.4761,0.231356,2.3205,3.4859,3.4465,3.4445,71,1701.7927
2521.7628,8273.5003,12.5,12.5968,2.2954,0.03007,103.5965,153.0155,83.6286,0.229698,2.3092,3.4296,3.3847,3.3676,71,1703.871
2521.9152,8274.0003,12.5,12.5831,2.2885,0.030111,104.5157,152.9866,81.7811,0.228039,2.298,3.3732,3.3229,3.2907,71,1705.9493
2522.0676,8274.5003,12.5,12.5326,2.2789,0.028763,105.033,153.4278,81.0538,0.224393,2.2684,3.3267,3.2756,3.2346,71,1706.6765
2522.22,8275.0003,12.5,12.4361,2.2658,0.025675,105.0462,154.4587,81.7317,0.218255,2.2156,3.2927,3.2464,3.2047,71,1705.7087
2522.3724,8275.5003,12.5,12.3395,2.2528,0.022586,105.0593,155.4896,82.4096,0.212117,2.1628,3.2586,3.2171,3.1748,71,1704.741
2522.5248,8276.0003,12.5,12.2565,2.2438,0.020926,104.9407,156.8434,82.6651,0.206573,2.1166,3.2447,3.2057,3.1628,71,1702.214
2522.6772,8276.5003,12.5,12.2431,2.2558,0.026616,104.1442,159.8586,80.7468,0.204082,2.1042,3.3345,3.286,3.2425,71,1691.6637
2522.8296,8277.0003,12.5,12.2297,2.2679,0.032306,103.3478,162.8738,78.8286,0.201592,2.0917,3.4243,3.3664,3.3223,71,1681.1135
2522.982,8277.5003,12.5,12.2163,2.2799,0.037997,102.5514,165.889,76.9103,0.199102,2.0793,3.5141,3.4467,3.4021,71,1670.5632
2523.1344,8278.0003,12.5,12.2158,2.2804,0.033662,101.7371,165.1592,79.2969,0.197636,2.1095,3.3349,3.2875,3.2671,71,1668.0427
2523.2868,8278.5003,12.5,12.217,2.2793,0.027985,100.9205,163.9278,82.2599,0.196307,2.1454,3.1197,3.0962,3.1034,71,1666.5978
2523.4392,8279.0003,12.5,12.2183,2.2783,0.022308,100.1038,162.6965,85.223,0.194978,2.1813,2.9045,2.9049,2.9396,71,1665.1527
2523.5916,8279.5003,12.5,12.2199,2.26,0.021867,99.4089,161.319,85.983,0.197408,2.1916,2.766,2.76,2.7652,71,1669.6674
2523.744,8280.0003,12.5,12.2218,2.2302,0.024902,98.7947,159.8447,85.2806,0.202331,2.1848,2.6783,2.6461,2.5836,71,1678.1377
2523.8964,8280.5003,12.5,12.2236,2.2005,0.027937,98.1806,158.3703,84.5782,0.207255,2.1781,2.5907,2.5321,2.402,71,1686.6082
2524.0488,8281.0003,12.5,12.2253,2.1813,0.029024,97.9113,157.2701,84.0354,0.21282,2.178,2.5245,2.4456,2.2873,71,1692.1422
2524.2012,8281.5003,12.5,12.2266,2.1844,0.025976,98.3742,156.9642,83.8316,0.219746,2.192,2.5038,2.4173,2.3146,71,1691.4427
2524.3536,8282.0003,12.5,12.2278,2.1876,0.022928,98.8371,156.6583,83.6277,0.226672,2.2059,2.483,2.389,2.3419,71,1690.7433
2524.506,8282.5003,12.5,12.229,2.1901,0.01988,99.285,156.325,83.4905,0.233218,2.219,2.4616,2.3612,2.3672,71,1690.111
2524.6584,8283.0003,12.5,12.229,2.1762,0.016832,99.3669,155.3243,84.9783,0.23049,2.2085,2.4225,2.3431,2.3434,71,1691.1187
2524.8108,8283.5003,12.5,12.229,2.1623,0.013784,99.4489,154.3235,86.466,0.227762,2.198,2.3835,2.325,2.3196,71,1692.1263
2524.9632,8284.0003,12.5,12.229,2.1484,0.010736,99.5308,153.3228,87.9538,0.225034,2.1875,2.3444,2.3069,2.2957,71,1693.134
2525.1156,8284.5003,12.5,12.2813,2.2054,0.010021,99.8178,152.6015,86.8131,0.225399,2.562,2.3133,2.2813,2.2659,71,1701.3649
2525.268,8285.0003,12.5,12.3504,2.2851,0.010049,100.17,151.9693,84.8355,0.226748,3.059,2.2846,2.2534,2.2342,71,1711.8951
2525.4204,8285.5003,12.5,12.4194,2.3648,0.010077,100.5223,151.3371,82.858,0.228097,3.556,2.256,2.2255,2.2024,71,1722.4254
2525.5728,8286.0003,12.5,12.4873,2.4069,0.011534,100.3728,151.1421,81.4724,0.229309,3.81,2.291,2.2557,2.2285,71,1726.5388
2525.7252,8286.5003,12.5,12.5541,2.408,0.014554,99.6748,151.4249,80.7341,0.230369,3.7982,2.3958,2.3495,2.3178,71,1723.6361
2525.8776,8287.0003,12.5,12.6209,2.4091,0.017574,98.9767,151.7078,79.9957,0.231429,3.7865,2.5006,2.4433,2.4071,71,1720.7335
2526.03,8287.5003,12.5,12.6493,2.3966,0.02055,98.3205,151.8181,79.4185,0.231785,3.67,2.5621,2.4983,2.4625,71,1718.4027
2526.1824,8288.0003,12.5,12.5213,2.3285,0.023342,97.8352,151.2245,79.4985,0.229268,3.1264,2.4473,2.3948,2.3798,71,1718.4049
2526.3348,8288.5003,12.5,12.3933,2.2603,0.026134,97.3498,150.6308,79.5785,0.22675,2.5828,2.3325,2.2913,2.2971,71,1718.4071
